,Symbol,Sector
0,A,Healthcare
1,AAPL,Technology
2,ABBV,Healthcare
3,ABNB,Consumer Cyclical
4,ABT,Healthcare
5,ACGL,Financial Services
6,ACN,Technology
7,ADBE,Technology
8,ADI,Technology
9,ADM,Consumer Defensive
10,ADP,Technology
11,ADSK,Technology
12,AEE,Utilities
13,AEP,Utilities
14,AES,Utilities
15,AFL,Financial Services
16,AIG,Financial Services
17,AIZ,Financial Services
18,AJG,Financial Services
19,AKAM,Technology
20,ALB,Basic Materials
21,ALGN,Healthcare
22,ALL,Financial Services
23,ALLE,Industrials
24,AMAT,Technology
25,AMCR,Consumer Cyclical
26,AMD,Technology
27,AME,Industrials
28,AMGN,Healthcare
29,AMP,Financial Services
30,AMT,Real Estate
31,AMZN,Consumer Cyclical
32,ANET,Technology
33,ANSS,Technology
34,AON,Financial Services
35,AOS,Industrials
36,APA,Energy
37,APD,Basic Materials
38,APH,Technology
39,APTV,Consumer Cyclical
40,ARE,Real Estate
41,ATO,Utilities
42,AVB,Real Estate
43,AVGO,Technology
44,AVY,Consumer Cyclical
45,AWK,Utilities
46,AXON,Industrials
47,AXP,Financial Services
48,AZO,Consumer Cyclical
49,BA,Industrials
50,BAC,Financial Services
51,BALL,Consumer Cyclical
52,BAX,Healthcare
53,BBY,Consumer Cyclical
54,BDX,Healthcare
55,BEN,Financial Services
56,BG,Consumer Defensive
57,BIIB,Healthcare
58,BK,Financial Services
59,BKNG,Consumer Cyclical
60,BKR,Energy
61,BLDR,Industrials
62,BLK,Financial Services
63,BMY,Healthcare
64,BR,Technology
65,BRO,Financial Services
66,BSX,Healthcare
67,BWA,Consumer Cyclical
68,BX,Financial Services
69,BXP,Real Estate
70,C,Financial Services
71,CAG,Consumer Defensive
72,CAH,Healthcare
73,CARR,Industrials
74,CAT,Industrials
75,CB,Financial Services
76,CBOE,Financial Services
77,CBRE,Real Estate
78,CCI,Real Estate
79,CCL,Consumer Cyclical
80,CDNS,Technology
81,CDW,Technology
82,CE,Basic Materials
83,CEG,Utilities
84,CF,Basic Materials
85,CFG,Financial Services
86,CHD,Consumer Defensive
