Date,Open,Adj Close,Volume
2021-09-01,159.52999877929688,148.29937744140625,1057900
2021-09-02,158.0,149.1266326904297,1037300
2021-09-03,158.25999450683594,146.33457946777344,1123000
2021-09-07,149.49000549316406,141.3896942138672,2030100
2021-09-08,149.4499969482422,141.97256469726562,2772500
2021-09-09,148.9199981689453,145.30047607421875,2382500
2021-09-10,154.88999938964844,143.8621063232422,1276600
2021-09-13,154.5,143.373291015625,1060900
2021-09-14,153.27000427246094,141.32391357421875,967400
2021-09-15,150.10000610351562,141.68113708496094,1001400
2021-09-16,150.72000122070312,140.81625366210938,776500
2021-09-17,148.75,137.94895935058594,1888100
2021-09-20,144.13999938964844,137.54470825195312,1139600
2021-09-21,147.3000030517578,136.93368530273438,854000
2021-09-22,146.82000732421875,136.5576171875,950900
2021-09-23,146.44000244140625,137.7421417236328,1040600
2021-09-24,146.60000610351562,139.67874145507812,1142500
2021-09-27,148.8300018310547,139.28387451171875,980800
2021-09-28,148.0,137.3379364013672,901300
2021-09-29,145.6699981689453,137.01829528808594,973100
2021-09-30,146.5800018310547,134.44244384765625,1089500
2021-10-01,143.63999938964844,135.38255310058594,1198700
2021-10-04,144.0,135.38255310058594,1416700
2021-10-05,144.66000366210938,137.11228942871094,1272800
2021-10-06,144.60000610351562,137.9583740234375,1324300
2021-10-07,148.1199951171875,141.46490478515625,1726600
2021-10-08,150.47000122070312,141.7093505859375,976600
2021-10-11,151.7100067138672,142.76223754882812,1272400
2021-10-12,151.74000549316406,143.64593505859375,1435800
2021-10-13,153.75999450683594,145.4132843017578,1287500
2021-10-14,155.82000732421875,149.36167907714844,1580400
2021-10-15,159.64999389648438,150.69659423828125,1369200
2021-10-18,159.4499969482422,147.9703369140625,1820700
2021-10-19,158.27999877929688,149.41807556152344,1258600
2021-10-20,160.55999755859375,150.81881713867188,1739100
2021-10-21,156.9199981689453,155.11502075195312,2543300
2021-10-22,162.44000244140625,152.0315399169922,1543700
2021-10-25,162.1999969482422,150.4803924560547,1817700
2021-10-26,160.11000061035156,152.17251586914062,1004800
2021-10-27,161.8300018310547,151.843505859375,1048300
