,Cluster 1,Cluster 2,Cluster 3
0,ACGL,AAPL,ABBV
1,ADBE,AMAT,ABT
2,ADSK,AME,ACN
3,AKAM,AON,ADI
4,ALB,APA,ADM
5,ALGN,APH,ADP
6,AMD,BALL,AEE
7,AMZN,BRO,AEP
8,ANET,BWA,AES
9,ANSS,CARR,AFL
10,APTV,CBOE,AIG
11,AXON,CDW,AIZ
12,AZO,CF,AJG
13,BA,CHD,ALL
14,BIIB,CI,ALLE
15,BKNG,COR,AMCR
16,BLDR,CTVA,AMGN
17,BSX,DE,AMP
18,CBRE,DG,AMT
19,CCL,DHI,AOS
20,CDNS,DHR,APD
21,CHTR,DPZ,ARE
22,CMG,EA,ATO
23,CNC,EFX,AVB
24,COO,EL,AVGO
25,CPAY,ELV,AVY
26,CPRT,EQT,AWK
27,CRL,EXPD,AXP
28,CRM,FCX,BAC
29,CRWD,FDS,BAX
30,CSGP,FOX,BBY
31,CTLT,FOXA,BDX
32,CZR,FTV,BEN
33,DAL,GL,BG
34,DAY,GPN,BK
35,DECK,HAL,BKR
36,DIS,HCA,BLK
37,DLTR,HES,BMY
38,DVA,HUM,BR
39,DXCM,INTU,BX
40,ENPH,J,BXP
41,EPAM,JBHT,C
42,EW,JKHY,CAG
43,EXPE,KKR,CAH
44,FFIV,KLAC,CAT
45,FI,L,CB
46,FICO,LEN,CCI
47,FSLR,LH,CE
48,FTNT,LLY,CFG
49,GDDY,LUV,CHRW
50,GE,LW,CINF
51,GM,MA,CL
52,GNRC,MAR,CLX
53,GOOG,MCHP,CMCSA
54,GOOGL,MCK,CME
55,HLT,MCO,CMI
56,HOLX,MKTX,CMS
57,HSIC,MLM,CNP
58,HWM,MOS,COF
59,IDXX,MSCI,COP
60,INCY,MSFT,COST
61,IQV,NDSN,CPB
62,IR,NKE,CPT
63,ISRG,NUE,CSCO
64,IT,NWS,CSX
65,JBL,NWSA,CTAS
66,KEYS,NXPI,CTRA
67,KMX,PARA,CTSH
68,LULU,PGR,CVS
69,LVS,PHM,CVX
70,LYV,POOL,D
71,META,RMD,DD
72,MGM,ROL,DELL
73,MHK,ROP,DFS
74,MNST,ROST,DGX
75,MOH,SBAC,DLR
76,MPWR,SCHW,DOC
77,MRNA,SHW,DOV
78,MTCH,SLB,DOW
79,MTD,SPGI,DRI
80,MU,STE,DTE
81,NCLH,STLD,DUK
82,NFLX,SYK,DVN
83,NOW,TFX,EBAY
84,NVDA,TPL,ECL
85,NVR,UHS,ED
86,ODFL,UNH,EG
87,ON,V,EIX
88,ORLY,VMC,EMN
89,OXY,VRSK,EMR
90,PANW,WAB,EOG
91,PAYC,ZBH,EQIX
92,PCG,ZTS,EQR
93,PODD,,ERIE
94,PTC,,ES
95,PWR,,ESS
96,PYPL,,ETN
97,QRVO,,ETR
98,RCL,,EVRG
99,REGN,,EXC
100,RVTY,,EXR
101,SMCI,,F
102,SNPS,,FANG
103,TDY,,FAST
104,TECH,,FDX
105,TER,,FE
106,TMO,,FIS
107,TMUS,,FITB
108,TRMB,,FMC
109,TSLA,,FRT
110,TTWO,,GD
111,TXT,,GEN
112,TYL,,GILD
113,UAL,,GIS
114,UBER,,GLW
115,ULTA,,GPC
116,URI,,GRMN
117,VRSN,,GS
118,VRTX,,GWW
119,WAT,,HAS
120,WBD,,HBAN
121,WDC,,HD
122,WST,,HIG
123,WYNN,,HII
124,ZBRA,,HON
125,,,HPE
126,,,HPQ
127,,,HRL
128,,,HST
129,,,HSY
130,,,HUBB
131,,,IBM
132,,,ICE
133,,,IEX
134,,,IFF
135,,,INTC
136,,,INVH
137,,,IP
138,,,IPG
139,,,IRM
140,,,ITW
141,,,IVZ
142,,,JCI
143,,,JNJ
144,,,JNPR
145,,,JPM
146,,,K
147,,,KDP
148,,,KEY
149,,,KHC
150,,,KIM
151,,,KMB
152,,,KMI
153,,,KO
154,,,KR
155,,,LDOS
156,,,LHX
157,,,LIN
158,,,LKQ
159,,,LMT
160,,,LNT
161,,,LOW
162,,,LRCX
163,,,LYB
164,,,MAA
165,,,MAS
166,,,MCD
167,,,MDLZ
168,,,MDT
169,,,MET
170,,,MKC
171,,,MMC
172,,,MMM
173,,,MO
174,,,MPC
175,,,MRK
176,,,MS
177,,,MSI
178,,,MTB
179,,,NDAQ
180,,,NEE
181,,,NEM
182,,,NI
183,,,NOC
184,,,NRG
185,,,NSC
186,,,NTAP
187,,,NTRS
188,,,O
189,,,OKE
190,,,OMC
191,,,ORCL
192,,,OTIS
193,,,PAYX
194,,,PCAR
195,,,PEG
196,,,PEP
197,,,PFE
198,,,PFG
199,,,PG
200,,,PH
201,,,PKG
202,,,PLD
203,,,PM
204,,,PNC
205,,,PNR
206,,,PNW
207,,,PPG
208,,,PPL
209,,,PRU
210,,,PSA
211,,,PSX
212,,,QCOM
213,,,REG
214,,,RF
215,,,RJF
216,,,RL
217,,,ROK
218,,,RSG
219,,,RTX
220,,,SBUX
221,,,SJM
222,,,SNA
223,,,SO
224,,,SPG
225,,,SPY
226,,,SRE
227,,,STT
228,,,STX
229,,,STZ
230,,,SWK
231,,,SWKS
232,,,SYF
233,,,SYY
234,,,T
235,,,TAP
236,,,TDG
237,,,TEL
238,,,TFC
239,,,TGT
240,,,TJX
241,,,TPR
242,,,TRGP
243,,,TROW
244,,,TRV
245,,,TSCO
246,,,TSN
247,,,TT
248,,,TXN
249,,,UDR
250,,,UNP
251,,,UPS
252,,,USB
253,,,VICI
254,,,VLO
255,,,VST
256,,,VTR
257,,,VTRS
258,,,VZ
259,,,WBA
260,,,WEC
261,,,WELL
262,,,WFC
263,,,WM
264,,,WMB
265,,,WMT
266,,,WRB
267,,,WTW
268,,,WY
269,,,XEL
270,,,XOM
271,,,XYL
272,,,YUM
