,Cluster 1,Cluster 2
277,,POOL
278,,PPG
279,,PPL
280,,PRU
281,,PSA
282,,PSX
283,,QCOM
284,,REG
285,,RF
286,,RJF
287,,RL
288,,RMD
289,,ROK
290,,ROL
291,,ROP
292,,ROST
293,,RSG
294,,RTX
295,,SBAC
296,,SBUX
297,,SCHW
298,,SHW
299,,SJM
300,,SLB
301,,SNA
302,,SO
303,,SPG
304,,SPGI
305,,SPY
306,,SRE
307,,STE
308,,STLD
309,,STT
310,,STX
311,,STZ
312,,SWK
313,,SWKS
314,,SYF
315,,SYK
316,,SYY
317,,T
318,,TAP
319,,TDG
320,,TEL
321,,TFC
322,,TFX
323,,TGT
324,,TJX
325,,TPL
326,,TPR
327,,TRGP
328,,TROW
329,,TRV
330,,TSCO
331,,TSN
332,,TT
333,,TXN
334,,UDR
335,,UHS
336,,UNH
337,,UNP
338,,UPS
339,,USB
340,,V
341,,VICI
342,,VLO
343,,VMC
344,,VRSK
345,,VST
346,,VTR
347,,VTRS
348,,VZ
349,,WAB
350,,WBA
351,,WEC
352,,WELL
353,,WFC
354,,WM
355,,WMB
356,,WMT
357,,WRB
358,,WTW
359,,WY
360,,XEL
361,,XOM
362,,XYL
363,,YUM
364,,ZBH
365,,ZTS
