Date,Open,Adj Close,Volume
2023-09-01,555.364990234375,1015500,563.4500122070312
2023-09-05,540.2056884765625,1404900,559.280029296875
2023-09-06,534.9133911132812,1217900,540.9199829101562
2023-09-07,529.89013671875,1079200,535.239990234375
2023-09-08,516.5447387695312,1834900,530.0
2023-09-11,513.2257690429688,1555900,515.4099731445312
2023-09-12,509.2889099121094,1568000,515.0
2023-09-13,509.19921875,2359100,499.19000244140625
2023-09-14,514.2757568359375,1598300,515.1300048828125
2023-09-15,514.1660766601562,5179500,515.6400146484375
2023-09-18,506.3866882324219,1300100,515.510009765625
2023-09-19,507.39398193359375,1181100,505.2200012207031
2023-09-20,503.55419921875,1271300,511.3699951171875
2023-09-21,500.262939453125,1606900,502.42999267578125
2023-09-22,501.45977783203125,1198000,502.8999938964844
2023-09-25,504.3221435546875,961500,501.2300109863281
2023-09-26,500.262939453125,1190000,503.0
2023-09-27,496.9716491699219,1344300,502.6199951171875
2023-09-28,501.68914794921875,1443300,502.04998779296875
2023-09-29,504.8308410644531,1380500,509.2099914550781
2023-10-02,494.4783020019531,1652100,503.0799865722656
2023-10-03,498.28814697265625,1559400,492.8999938964844
2023-10-04,501.12066650390625,1022100,501.2099914550781
2023-10-05,496.7023620605469,917500,497.3900146484375
2023-10-06,497.23095703125,1108100,495.82000732421875
2023-10-09,494.8173828125,1182500,495.0
2023-10-10,494.83734130859375,1304900,495.5899963378906
2023-10-11,491.32666015625,1207100,497.2200012207031
2023-10-12,481.28326416015625,2026200,491.8399963378906
2023-10-13,481.5725402832031,2004300,479.6300048828125
2023-10-16,487.24749755859375,1247700,482.8500061035156
2023-10-17,483.4874267578125,1355200,479.0
2023-10-18,466.0237731933594,2134800,480.9800109863281
2023-10-19,468.4273681640625,2014500,472.29998779296875
2023-10-20,463.1314392089844,1599300,469.510009765625
2023-10-23,460.58819580078125,1897500,461.75
2023-10-24,457.0475769042969,2376600,451.92999267578125
2023-10-25,432.0339050292969,7906700,423.0
2023-10-26,438.9954528808594,2971200,431.1300048828125
2023-10-27,430.2685852050781,2495600,439.57000732421875
2023-10-30,432.9614562988281,2946500,432.17999267578125
2023-10-31,443.59326171875,2895400,436.489990234375
2023-11-01,439.9429626464844,2275400,445.1300048828125
2023-11-02,446.3858642578125,1713900,444.8399963378906
2023-11-03,453.5368957519531,1921800,454.69000244140625
2023-11-06,453.8161315917969,1613800,456.70001220703125
2023-11-07,458.02496337890625,1708700,453.8800048828125
2023-11-08,453.1080017089844,1848100,461.510009765625
2023-11-09,443.0945739746094,2042400,458.5400085449219
2023-11-10,447.2435607910156,1896500,443.82000732421875
2023-11-13,443.9722900390625,1675000,445.5299987792969
2023-11-14,458.044921875,1822400,456.80999755859375
2023-11-15,469.2950744628906,2184000,464.6600036621094
2023-11-16,471.2199401855469,1613400,472.05999755859375
2023-11-17,465.18597412109375,1556300,475.0
2023-11-20,467.7890625,1183500,467.0299987792969
2023-11-21,481.1137390136719,2915900,478.2799987792969
2023-11-22,486.2401123046875,1463800,486.0799865722656
2023-11-24,489.48150634765625,722800,488.5
2023-11-27,488.833251953125,2427100,489.2200012207031
2023-11-28,484.6343994140625,1549600,488.4200134277344
2023-11-29,491.6158752441406,1195800,489.8900146484375
2023-11-30,494.4483642578125,1914000,495.8999938964844
2023-12-01,494.8173828125,1219700,490.8800048828125
2023-12-04,494.0294189453125,1222300,493.4700012207031
2023-12-05,490.29937744140625,1613600,492.9700012207031
2023-12-06,492.50347900390625,1241700,495.0
2023-12-07,492.7927551269531,2101800,494.5299987792969
2023-12-08,488.47418212890625,1870800,492.80999755859375
2023-12-11,493.6803894042969,2030900,492.55999755859375
2023-12-12,496.0541076660156,1420200,496.3299865722656
2023-12-13,517.1680908203125,2776700,498.5899963378906
2023-12-14,520.4915161132812,2763900,529.5399780273438
2023-12-15,517.0084228515625,4354300,520.77001953125
2023-12-18,517.5972290039062,1607300,521.1300048828125
2023-12-19,527.0984497070312,2569400,521.010009765625
2023-12-20,518.4056396484375,1497300,528.0
2023-12-21,525.5216064453125,1016600,518.0700073242188
2023-12-22,528.0066528320312,1081500,528.0900268554688
2023-12-26,528.6553344726562,639100,526.8800048828125
2023-12-27,530.6015625,806000,530.8099975585938
2023-12-28,531.8889770507812,763400,533.0
2023-12-29,529.7432250976562,804300,531.2100219726562
2024-01-02,543.076904296875,2310800,529.5599975585938
2024-01-03,527.777099609375,2170300,542.8099975585938
2024-01-04,536.30029296875,1831300,527.3200073242188
2024-01-05,530.1823120117188,1817200,533.969970703125
2024-01-08,540.3123779296875,2126800,529.6300048828125
2024-01-09,540.7814331054688,2890000,538.52001953125
2024-01-10,542.8572998046875,2026600,540.7899780273438
2024-01-11,544.9232788085938,1983100,543.530029296875
2024-01-12,543.2465209960938,2013100,548.510009765625
2024-01-16,540.9310913085938,1838900,543.510009765625
2024-01-17,538.1865234375,1966300,538.75
2024-01-18,543.3463134765625,1728200,537.3499755859375
2024-01-19,550.661865234375,2124000,545.1599731445312
2024-01-22,552.2986450195312,1818500,552.8800048828125
2024-01-23,549.6539306640625,1116600,556.2000122070312
2024-01-24,538.9251098632812,1842500,549.8499755859375
2024-01-25,537.148681640625,1748100,543.22998046875
2024-01-26,546.2506713867188,3172300,554.0
2024-01-29,556.6700439453125,2445900,550.0
2024-01-30,566.0015869140625,2301300,559.5
2024-01-31,537.9170532226562,3589400,563.2999877929688
2024-02-01,551.1409301757812,2163900,542.1400146484375
2024-02-02,550.7317504882812,1327500,549.02001953125
2024-02-05,550.5321044921875,1473700,549.4600219726562
2024-02-06,559.175048828125,1328100,552.489990234375
2024-02-07,551.2207641601562,1451400,562.0
2024-02-08,549.8035888671875,1549300,552.2000122070312
2024-02-09,549.6638793945312,1280800,549.6500244140625
2024-02-12,545.7815551757812,1073000,551.0
2024-02-13,537.5377807617188,1268000,541.4199829101562
2024-02-14,547.188720703125,1297000,541.6400146484375
2024-02-15,547.4881591796875,1519000,547.260009765625
2024-02-16,546.7596435546875,1028200,546.3200073242188
2024-02-20,547.05908203125,989300,544.8599853515625
2024-02-21,551.7597045898438,786500,546.1099853515625
2024-02-22,559.3846435546875,1139600,555.0
2024-02-23,563.5963134765625,970000,562.8699951171875
2024-02-26,562.3687744140625,758600,563.3400268554688
2024-02-27,565.053466796875,901000,564.97998046875
2024-02-28,570.9019165039062,1021400,565.2000122070312
2024-02-29,569.0556030273438,1794200,574.6500244140625
