Date,Open,Adj Close,Volume
2023-09-01,6509.35009765625,20000,6422.2001953125
2023-09-05,6181.669921875,32400,6490.259765625
2023-09-06,6318.14990234375,30100,6199.97998046875
2023-09-07,6405.81005859375,38100,6305.0
2023-09-08,6307.18994140625,27200,6390.0
2023-09-11,6353.5,18300,6350.009765625
2023-09-12,6168.97021484375,22000,6348.91015625
2023-09-13,6098.85986328125,28300,6180.3798828125
2023-09-14,6201.25,20300,6155.990234375
2023-09-15,6076.58984375,78500,6200.0
2023-09-18,6126.91015625,17400,6097.97021484375
2023-09-19,6182.8701171875,15200,6133.72021484375
2023-09-20,6132.1298828125,18200,6221.0
2023-09-21,5888.47021484375,25400,6059.64990234375
2023-09-22,5962.58984375,17500,5928.0
2023-09-25,5965.08984375,16400,5948.0
2023-09-26,5890.56005859375,18100,5939.64013671875
2023-09-27,5941.0,16700,5940.009765625
2023-09-28,6061.919921875,17100,5951.0
2023-09-29,5963.2998046875,21700,6120.5
2023-10-02,5960.9501953125,20900,5915.0
2023-10-03,5856.6298828125,26500,5939.0
2023-10-04,5939.5400390625,23100,5865.330078125
2023-10-05,5951.68017578125,18900,5940.0
2023-10-06,6049.2099609375,23000,5930.22021484375
2023-10-09,6164.97021484375,23700,6030.0
2023-10-10,6112.830078125,30900,6167.0
2023-10-11,6178.66015625,26700,6158.0
2023-10-12,5896.22021484375,29300,6138.0
2023-10-13,5932.10009765625,23700,5925.0
2023-10-16,5916.22021484375,34800,5981.31982421875
2023-10-17,5840.0,34300,5865.830078125
2023-10-18,5746.58984375,28700,5800.0
2023-10-19,5563.5498046875,31200,5743.509765625
2023-10-20,5488.10009765625,65500,5625.0
2023-10-23,5505.68994140625,41000,5513.25
2023-10-24,5385.52001953125,25900,5505.66015625
2023-10-25,5377.2900390625,26100,5353.5
2023-10-26,5426.81982421875,19600,5379.72998046875
2023-10-27,5382.22021484375,15000,5420.25
2023-10-30,5401.759765625,13800,5427.0
2023-10-31,5412.6201171875,21400,5415.64013671875
2023-11-01,5560.5498046875,26800,5444.16015625
2023-11-02,5698.91015625,26400,5683.0
2023-11-03,5890.6298828125,22000,5830.18994140625
2023-11-06,5920.3701171875,18500,5861.5498046875
2023-11-07,6002.43994140625,25000,5937.0
2023-11-08,5901.81982421875,17500,5977.169921875
2023-11-09,5836.52001953125,17800,5927.06982421875
2023-11-10,6035.2900390625,20300,5885.52978515625
2023-11-13,6030.43994140625,9900,5973.97021484375
2023-11-14,6290.72021484375,22200,6170.0
2023-11-15,6292.169921875,19300,6275.0
2023-11-16,6290.58984375,25000,6293.5
2023-11-17,6298.0,23000,6332.97021484375
2023-11-20,6307.1201171875,22400,6280.9599609375
2023-11-21,6244.22021484375,20500,6290.009765625
2023-11-22,6222.89013671875,12800,6276.77001953125
2023-11-24,6195.06005859375,6700,6196.009765625
2023-11-27,6146.89990234375,14700,6199.0
2023-11-28,6128.66015625,24400,6148.0
2023-11-29,6107.10986328125,22700,6164.0
2023-11-30,6155.39013671875,29900,6107.10986328125
2023-12-01,6320.35009765625,18700,6155.39013671875
2023-12-04,6388.0498046875,16900,6286.4599609375
2023-12-05,6359.080078125,21300,6371.64990234375
2023-12-06,6364.66015625,27000,6442.0
2023-12-07,6444.7998046875,27300,6377.97021484375
2023-12-08,6535.89013671875,16800,6450.0
2023-12-11,6529.10009765625,22900,6493.009765625
2023-12-12,6538.240234375,24100,6542.16015625
2023-12-13,6684.85986328125,24700,6568.830078125
2023-12-14,6934.39990234375,29600,6785.7900390625
2023-12-15,6880.72998046875,59500,6896.669921875
2023-12-18,6840.0,24600,6860.72998046875
2023-12-19,6936.64990234375,33000,6882.72021484375
2023-12-20,6847.14013671875,22300,6920.0
2023-12-21,6939.97998046875,16200,6916.919921875
2023-12-22,6980.169921875,13800,6962.97998046875
2023-12-26,7008.2001953125,11100,6998.0
2023-12-27,7024.81982421875,14700,7028.5
2023-12-28,6981.7099609375,13700,7007.77001953125
2023-12-29,7000.4501953125,14400,6982.2998046875
2024-01-02,6969.0,21200,6901.2099609375
2024-01-03,6948.93994140625,28000,6890.0
2024-01-04,6912.7099609375,20100,6925.0
2024-01-05,6937.75,20600,6900.9501953125
2024-01-08,7066.93017578125,19400,6975.0
2024-01-09,7034.759765625,17300,7047.0
2024-01-10,7147.31005859375,21000,7070.0
2024-01-11,7242.240234375,17700,7149.7001953125
2024-01-12,7208.89990234375,14200,7242.240234375
2024-01-16,7160.72998046875,18600,7176.0
2024-01-17,7104.60009765625,17600,7118.25
2024-01-18,7184.9599609375,13800,7180.5
2024-01-19,7207.990234375,15400,7192.75
2024-01-22,7416.009765625,20500,7259.0
2024-01-23,6938.39990234375,31000,7365.77001953125
2024-01-24,6857.43017578125,30000,6999.10986328125
2024-01-25,7019.10986328125,25300,6829.77001953125
2024-01-26,7035.81005859375,15000,6995.2099609375
2024-01-29,7106.330078125,17900,7024.0
