Date,Open,Adj Close,Volume
2022-09-01,162.0800018310547,164.05999755859375,1007000
2022-09-02,166.60000610351562,163.27000427246094,771100
2022-09-06,163.69000244140625,163.52999877929688,774600
2022-09-07,165.07000732421875,169.6699981689453,1552000
2022-09-08,169.07000732421875,172.89999389648438,995400
2022-09-09,173.33999633789062,172.36000061035156,1087200
2022-09-12,172.89999389648438,173.6999969482422,997300
2022-09-13,169.5,168.36000061035156,667200
2022-09-14,168.36000061035156,168.11000061035156,911700
2022-09-15,168.1199951171875,165.66000366210938,690600
2022-09-16,164.47999572753906,165.42999267578125,1644200
2022-09-19,163.77000427246094,165.9600067138672,587300
2022-09-20,164.82000732421875,164.4600067138672,583900
2022-09-21,165.55999755859375,162.0500030517578,565800
2022-09-22,161.22000122070312,158.7100067138672,675400
2022-09-23,157.1999969482422,156.85000610351562,694300
2022-09-26,156.27000427246094,155.55999755859375,1016000
2022-09-27,157.66000366210938,156.91000366210938,1012200
2022-09-28,157.0500030517578,159.5500030517578,1095400
2022-09-29,158.22999572753906,158.82000732421875,1140100
2022-09-30,158.17999267578125,157.36000061035156,1204500
2022-10-03,159.3300018310547,162.4199981689453,727200
2022-10-04,165.1999969482422,168.64999389648438,1095700
2022-10-05,166.69000244140625,168.7100067138672,679700
2022-10-06,168.64999389648438,168.50999450683594,726200
2022-10-07,166.0,161.05999755859375,769700
2022-10-10,162.4499969482422,160.32000732421875,792600
2022-10-11,159.75,156.0,905900
2022-10-12,157.36000061035156,153.77999877929688,926800
2022-10-13,150.08999633789062,156.99000549316406,1151300
2022-10-14,157.97999572753906,154.24000549316406,1074800
2022-10-17,157.5800018310547,159.11000061035156,736200
2022-10-18,163.0399932861328,161.1999969482422,707500
2022-10-19,159.85000610351562,161.14999389648438,629600
2022-10-20,161.3000030517578,160.8000030517578,812900
2022-10-21,161.30999755859375,168.9600067138672,1105700
2022-10-24,169.5399932861328,169.39999389648438,1161700
2022-10-25,169.22999572753906,173.7100067138672,908100
2022-10-26,173.4600067138672,175.27000427246094,928700
2022-10-27,176.14999389648438,173.38999938964844,908200
2022-10-28,173.6199951171875,177.64999389648438,823000
2022-10-31,176.1699981689453,174.14999389648438,1039500
2022-11-01,176.22000122070312,173.97999572753906,755800
2022-11-02,173.5,167.10000610351562,1256100
2022-11-03,165.57000732421875,166.97000122070312,796000
2022-11-04,169.13999938964844,163.85000610351562,1561600
2022-11-07,165.0399932861328,163.52000427246094,960500
2022-11-08,164.25999450683594,163.6199951171875,1047100
2022-11-09,162.75999450683594,161.02000427246094,720000
2022-11-10,167.0,171.7100067138672,1268200
2022-11-11,172.3800048828125,172.17999267578125,1018300
2022-11-14,171.33999633789062,171.0399932861328,897000
2022-11-15,174.19000244140625,172.47999572753906,782700
2022-11-16,172.02000427246094,166.57000732421875,958200
2022-11-17,164.30999755859375,166.02999877929688,1072000
2022-11-18,172.0,171.89999389648438,1281500
2022-11-21,170.9600067138672,172.1300048828125,1268700
2022-11-22,172.82000732421875,174.27999877929688,916200
2022-11-23,174.97000122070312,176.0399932861328,831300
2022-11-25,176.5,176.6199951171875,413600
2022-11-28,175.08999633789062,173.58999633789062,1339200
2022-11-29,173.4499969482422,173.11000061035156,919400
2022-11-30,173.42999267578125,180.88999938964844,1789900
2022-12-01,180.85000610351562,181.47999572753906,979100
2022-12-02,179.08999633789062,180.52999877929688,811700
2022-12-05,178.8800048828125,178.55999755859375,715900
2022-12-06,177.91000366210938,176.8300018310547,631000
2022-12-07,175.97999572753906,177.6999969482422,587100
2022-12-08,179.02999877929688,181.0500030517578,980400
2022-12-09,181.10000610351562,180.72000122070312,1536800
2022-12-12,181.42999267578125,183.10000610351562,780400
2022-12-13,187.35000610351562,185.1999969482422,1154100
2022-12-14,184.80999755859375,182.97999572753906,900400
2022-12-15,180.4600067138672,176.17999267578125,756100
2022-12-16,174.47999572753906,173.85000610351562,1612100
